,id,homeTeamId,awayTeamId,homeTeamRuns,awayTeamRuns,homeTeamWin,date,awayName,homeName,538home,538away,exchangeHomePrice,bestHomeExchangeId,exchangeAwayPrice,bestAwayExchangeId,exchangeHomePercent,exchangeAwayPercent,spread,kellyProportionHome,kellyProportionAway,betSize,winnings,return,betTeam
41,42,4,27,2.0,1.0,1.0,2017-04-20,Los Angeles Angels,Houston Astros,0.6,0.4,0.57,1,1.45,1.0,0.6369426751592357,0.4081632653061224,0.04510594046535821,0.0,0.0,0.0,0.0,0.0,
42,43,6,19,1.0,2.0,0.0,2017-04-20,Baltimore Orioles,Cincinnati Reds,0.5,0.5,1.1,1,0.75,1.0,0.47619047619047616,0.5714285714285714,0.04761904761904745,0.0,0.0,0.0,0.0,0.0,
43,44,9,26,4.0,6.0,0.0,2017-04-20,Philadelphia Phillies,New York Mets,0.66,0.34,0.5,1,1.63,1.0,0.6666666666666666,0.3802281368821293,0.04689480354879594,0.0,0.0,0.0,0.0,0.0,
44,45,25,15,2.0,3.0,0.0,2017-04-20,Washington Nationals,Atlanta Braves,0.4,0.6,1.5,1,0.53,1.0,0.4,0.6535947712418301,0.0535947712418301,0.0,0.0,0.0,0.0,0.0,
45,46,13,20,1.0,0.0,1.0,2017-04-20,Kansas City Royals,Texas Rangers,0.51,0.49,0.91,1,0.91,1.0,0.5235602094240838,0.5235602094240838,0.04712041884816753,0.0,0.0,0.0,0.0,0.0,
46,47,3,2,7.0,5.0,1.0,2017-04-20,St. Louis Cardinals,Milwaukee Brewers,0.48,0.52,1.05,1,0.8,1.0,0.48780487804878053,0.5555555555555556,0.04336043360433606,0.0,0.0,0.0,0.0,0.0,
47,48,17,8,4.0,1.0,1.0,2017-04-20,Arizona Diamondbacks,San Diego Padres,0.48,0.52,1.05,1,0.8,1.0,0.48780487804878053,0.5555555555555556,0.04336043360433606,0.0,0.0,0.0,0.0,0.0,
48,49,23,12,9.0,6.0,1.0,2017-04-20,Seattle Mariners,Oakland Athletics,0.42,0.58,1.38,1,0.62,1.0,0.42016806722689076,0.6172839506172839,0.03745201784417462,0.0,0.0,0.0,0.0,0.0,
49,50,19,18,2.0,0.0,1.0,2017-04-21,Boston Red Sox,Baltimore Orioles,0.52,0.48,0.91,1,0.91,1.0,0.5235602094240838,0.5235602094240838,0.04712041884816753,0.0,0.0,0.0,0.0,0.0,
50,51,26,25,4.0,3.0,1.0,2017-04-21,Atlanta Braves,Philadelphia Phillies,0.54,0.46,0.85,1,0.95,1.0,0.5405405405405405,0.5128205128205129,0.053361053361053346,0.0,0.0,0.0,0.0,0.0,
51,52,30,10,6.0,3.0,1.0,2017-04-21,New York Yankees,Pittsburgh Pirates,0.44,0.56,0.95,1,0.85,1.0,0.5128205128205129,0.5405405405405405,0.053361053361053346,0.0,0.0,0.0,0.0,0.0,
52,53,6,1,5.0,6.0,0.0,2017-04-21,Chicago Cubs,Cincinnati Reds,0.37,0.63,1.63,1,0.5,1.0,0.3802281368821293,0.6666666666666666,0.04689480354879594,0.0,0.0,0.0,0.0,0.0,
