id,homeTeamId,awayTeamId,homeTeamRuns,awayTeamRuns,homeTeamWin,date,awayName,homeName,538home,538away,exchangeHomePrice,bestHomeExchangeId,exchangeAwayPrice,bestAwayExchangeId
186,25,9,9.0,7.0,1.0,2017-05-02,New York Mets,Atlanta Braves,0.000000,0.000000,0.95,2,0.91,1
187,1,26,8.0,3.0,1.0,2017-05-02,Philadelphia Phillies,Chicago Cubs,0.000000,0.000000,0.48,2,1.80,1
192,10,14,8.0,6.0,1.0,2017-05-03,Toronto Blue Jays,New York Yankees,0.560000,0.440000,0.91,1,0.91,1
193,15,8,2.0,1.0,1.0,2017-05-03,Arizona Diamondbacks,Washington Nationals,0.590000,0.410000,0.74,2,1.20,1
195,6,30,7.0,2.0,1.0,2017-05-03,Pittsburgh Pirates,Cincinnati Reds,0.420000,0.580000,1.15,2,0.75,1
204,17,22,3.0,11.0,1.0,2017-05-03,Colorado Rockies,San Diego Padres,0.470000,0.530000,1.15,2,0.75,1
205,12,27,8.0,7.0,1.0,2017-05-03,Los Angeles Angels,Seattle Mariners,0.550000,0.450000,0.91,2,1.00,1
212,17,22,2.0,3.0,0.0,2017-05-04,Colorado Rockies,San Diego Padres,0.490000,0.510000,0.80,2,1.10,1
214,21,11,5.0,1.0,1.0,2017-05-04,Miami Marlins,Tampa Bay Rays,0.510000,0.490000,0.77,2,1.15,1
219,26,15,2.0,4.0,0.0,2017-05-05,Washington Nationals,Philadelphia Phillies,0.360000,0.640000,1.50,2,0.62,1
227,23,29,2.0,7.0,0.0,2017-05-05,Detroit Tigers,Oakland Athletics,0.480000,0.520000,0.87,2,1.00,1
232,21,14,6.0,1.0,1.0,2017-05-06,Toronto Blue Jays,Tampa Bay Rays,0.510000,0.490000,0.87,2,1.00,1
235,26,15,2.0,6.0,0.0,2017-05-06,Washington Nationals,Philadelphia Phillies,0.450000,0.550000,0.91,2,0.95,1
237,25,2,3.0,5.0,0.0,2017-05-06,St. Louis Cardinals,Atlanta Braves,0.500000,0.500000,0.91,2,1.10,1
239,9,11,11.0,3.0,0.0,2017-05-06,Miami Marlins,New York Mets,0.520000,0.480000,0.83,1,1.00,1
240,1,10,6.0,11.0,1.0,2017-05-06,New York Yankees,Chicago Cubs,0.540000,0.460000,0.74,2,1.20,1
243,27,4,2.0,1.0,1.0,2017-05-06,Houston Astros,Los Angeles Angels,0.440000,0.560000,1.15,2,0.75,1
246,21,14,1.0,2.0,0.0,2017-05-07,Toronto Blue Jays,Tampa Bay Rays,0.580000,0.420000,0.74,2,1.20,1
247,25,2,4.0,6.0,0.0,2017-05-07,St. Louis Cardinals,Atlanta Braves,0.490000,0.510000,1.10,2,0.80,1
248,19,5,4.0,0.0,1.0,2017-05-07,Chicago White Sox,Baltimore Orioles,0.550000,0.450000,0.83,2,1.05,1
251,20,7,0.0,1.0,0.0,2017-05-07,Cleveland Indians,Kansas City Royals,0.460000,0.540000,0.95,2,0.91,1
252,26,15,6.0,5.0,1.0,2017-05-07,Washington Nationals,Philadelphia Phillies,0.420000,0.580000,1.20,2,0.75,1
254,27,4,3.0,5.0,0.0,2017-05-07,Houston Astros,Los Angeles Angels,0.500000,0.500000,0.91,2,0.95,1
255,23,29,8.0,6.0,1.0,2017-05-07,Detroit Tigers,Oakland Athletics,0.480000,0.520000,0.91,2,0.95,1
256,6,24,4.0,0.0,1.0,2017-05-07,San Francisco Giants,Cincinnati Reds,0.490000,0.510000,1.00,2,0.85,1
258,1,10,4.0,5.0,0.0,2017-05-07,New York Yankees,Chicago Cubs,0.630000,0.370000,0.77,2,1.15,1
262,6,10,4.0,10.0,1.0,2017-05-08,New York Yankees,Cincinnati Reds,0.410000,0.590000,1.25,2,0.70,1
263,11,2,4.0,9.0,0.0,2017-05-08,St. Louis Cardinals,Miami Marlins,0.500000,0.500000,1.05,2,0.83,1
267,17,13,5.0,1.0,1.0,2017-05-08,Texas Rangers,San Diego Padres,0.510000,0.490000,0.71,2,1.25,1
273,6,10,5.0,3.0,1.0,2017-05-09,New York Yankees,Cincinnati Reds,0.470000,0.530000,0.95,2,0.91,1
274,11,2,5.0,6.0,0.0,2017-05-09,St. Louis Cardinals,Miami Marlins,0.560000,0.440000,0.91,2,0.95,1
287,22,1,3.0,0.0,1.0,2017-05-10,Chicago Cubs,Colorado Rockies,0.390000,0.610000,1.15,2,0.75,1
288,23,27,3.0,1.0,1.0,2017-05-10,Los Angeles Angels,Oakland Athletics,0.540000,0.460000,0.67,2,1.35,1
289,11,2,5.0,7.0,0.0,2017-05-10,St. Louis Cardinals,Miami Marlins,0.480000,0.520000,0.95,2,0.91,1
295,8,29,7.0,1.0,1.0,2017-05-10,Detroit Tigers,Arizona Diamondbacks,0.500000,0.500000,0.74,2,1.20,1
297,10,4,2.0,3.0,0.0,2017-05-11,Houston Astros,New York Yankees,0.620000,0.380000,0.87,2,1.05,1
301,22,16,10.0,7.0,0.0,2017-05-11,Los Angeles Dodgers,Colorado Rockies,0.500000,0.500000,1.00,2,0.85,1
308,7,28,0.0,1.0,0.0,2017-05-12,Minnesota Twins,Cleveland Indians,0.550000,0.450000,0.69,2,1.30,1
310,13,23,5.0,2.0,1.0,2017-05-12,Oakland Athletics,Texas Rangers,0.550000,0.450000,0.91,2,1.00,1
311,5,17,3.0,6.0,0.0,2017-05-12,San Diego Padres,Chicago White Sox,0.610000,0.390000,0.80,2,1.10,1
312,3,9,7.0,4.0,1.0,2017-05-12,New York Mets,Milwaukee Brewers,0.490000,0.510000,1.00,2,0.85,1
317,27,29,7.0,0.0,1.0,2017-05-12,Detroit Tigers,Los Angeles Angels,0.570000,0.430000,0.80,2,1.10,1
318,24,6,3.0,2.0,1.0,2017-05-12,Cincinnati Reds,San Francisco Giants,0.550000,0.450000,0.67,2,1.35,1
319,18,21,6.0,3.0,1.0,2017-05-13,Tampa Bay Rays,Boston Red Sox,0.660000,0.340000,0.43,2,2.00,1
321,24,6,3.0,1.0,1.0,2017-05-13,Cincinnati Reds,San Francisco Giants,0.530000,0.470000,0.74,2,1.20,1
322,2,1,5.0,3.0,1.0,2017-05-13,Chicago Cubs,St. Louis Cardinals,0.460000,0.540000,1.00,2,0.85,1
325,11,25,1.0,3.0,0.0,2017-05-13,Atlanta Braves,Miami Marlins,0.520000,0.480000,0.83,2,1.05,1
328,13,23,6.0,5.0,1.0,2017-05-13,Oakland Athletics,Texas Rangers,0.540000,0.460000,0.95,2,0.91,1
329,8,30,3.0,4.0,0.0,2017-05-13,Pittsburgh Pirates,Arizona Diamondbacks,0.600000,0.400000,1.20,2,1.30,1
330,22,16,0.0,4.0,0.0,2017-05-13,Los Angeles Dodgers,Colorado Rockies,0.470000,0.530000,1.05,2,0.83,1
65,6,1,8.0,12.0,1.0,2017-04-22,Chicago Cubs,Cincinnati Reds,0.340000,0.660000,1.60,2,0.56,2
66,28,29,4.0,5.0,0.0,2017-04-22,Detroit Tigers,Minnesota Twins,0.520000,0.480000,1.00,1,0.87,2
67,9,15,1.0,3.0,0.0,2017-04-22,Washington Nationals,New York Mets,0.530000,0.470000,0.91,2,0.91,2
68,23,12,4.0,3.0,1.0,2017-04-22,Seattle Mariners,Oakland Athletics,0.490000,0.510000,0.85,1,1.00,2
