"id","awayPrice","homePrice","exchangeId","gameId"
1237,0.83,1.00,2,3350
1238,0.87,0.95,2,3351
1239,1.20,0.71,2,3352
1240,0.56,1.60,2,3353
1241,1.05,0.80,2,3354
1242,0.83,1.00,2,3355
1243,0.95,0.87,2,3356
1245,1.30,0.67,2,3358
1246,1.67,0.52,2,3359
1247,0.83,1.00,2,3360
1250,0.80,1.05,2,3363
1255,1.15,0.74,2,3368
1256,1.05,0.80,2,3369
1257,1.75,0.47,2,3370
1258,1.75,0.48,2,3371
1259,0.74,1.15,2,3372
1260,1.35,0.65,2,3373
1261,2.30,0.36,2,3374
1262,1.20,0.69,2,3375
1263,0.91,0.91,2,3376
1264,1.20,0.71,2,3377
1265,1.67,0.52,2,3378
1266,1.60,0.56,2,3379
1267,1.35,0.65,2,3380
1272,1.65,0.54,2,3385
1273,1.75,0.48,2,3386
1274,1.75,0.48,2,3387
1275,1.10,0.77,2,3388
1276,0.87,0.95,2,3389
1277,1.35,0.65,2,3390
1278,0.87,0.95,2,3391
1279,1.40,0.63,2,3392
1280,1.25,0.69,2,3393
1281,0.69,1.25,2,3394
1282,2.15,0.38,2,3395
1283,1.35,0.65,2,3396
1284,1.55,0.57,2,3397
1285,1.60,0.56,2,3398
1286,1.10,0.77,2,3399
1287,0.83,1.00,2,3400
1288,1.15,0.74,2,3401
1290,0.71,1.20,2,3403
1291,0.83,1.00,2,3404
1292,1.10,0.77,2,3405
1293,1.00,0.83,2,3406
1294,1.20,0.71,2,3407
1295,0.91,0.91,2,3408
1296,0.69,1.25,2,3409
1297,0.87,0.95,2,3410
1298,1.30,0.67,2,3411
1299,1.05,0.80,2,3412
1300,1.95,0.43,2,3413
1301,1.55,0.57,2,3414
1302,0.83,1.00,2,3415
1303,0.74,1.15,2,3416
1304,0.91,0.91,2,3417
1305,1.67,0.52,2,3418
1306,1.00,0.83,2,3419
1307,1.15,0.74,2,3420
1308,0.91,0.91,2,3421
1309,1.05,0.80,2,3422
1310,1.50,0.59,2,3423
1311,1.55,0.57,2,3424
1312,1.10,0.77,2,3425
1313,0.87,0.95,2,3426
1314,1.70,0.50,2,3427
1315,0.80,1.05,2,3428
1316,1.35,0.65,2,3429
1317,0.83,1.00,2,3430
1318,1.90,0.43,2,3431
1319,1.10,0.77,2,3432
1320,0.87,0.95,2,3433
1321,1.10,0.77,2,3434
1322,1.70,0.50,2,3435
1323,1.45,0.61,2,3436
1324,0.95,0.87,2,3437
1335,0.91,0.91,2,3448
1336,1.70,0.50,2,3449
1337,1.45,0.61,2,3450
1338,1.35,0.65,2,3451
1339,1.05,0.80,2,3452
1340,1.50,0.59,2,3453
1341,0.77,1.10,2,3454
1342,0.71,1.20,2,3455
1343,0.91,0.91,2,3456
1344,1.70,0.50,2,3457
1345,1.20,0.71,2,3458
1346,0.95,0.87,2,3459
1347,1.00,0.83,2,3460
1348,0.87,0.95,2,3461
1349,0.59,1.50,2,3462
1350,0.91,0.91,2,3463
1351,0.74,1.15,2,3464
1352,1.00,0.83,2,3465
1353,1.15,0.74,2,3466
1354,0.71,1.20,2,3467
1355,0.91,0.91,2,3468
1356,1.10,0.77,2,3469
1357,1.10,0.77,2,3470
1358,0.69,1.25,2,3471
1359,0.57,1.55,2,3472
1360,1.40,0.63,2,3473
1361,0.91,0.91,2,3474
1362,1.60,0.56,2,3475
1363,0.74,1.15,2,3476
1364,0.65,1.35,2,3477
